claim_id	decimal_id	summary	evidence	status
CLM-math-kish	6.2.2	Kish identity k_eff = k/(1+ρ̄(k−1)); ceiling k_eff→1/ρ̄	lean:coherence-ratchet:Core.BaseIdentity	established
CLM-math-collapse	6.2.1	Remainder bound only: O(r²·k_eff) remainder of an ASSUMED decay law with substrate-specific free constants λ_geo, κ. Does not establish the decay law; nothing establishes the collapse asymmetry	lean:coherence-ratchet:Core.CollapseTheorem.remainder_scales_with_k_eff bench:RATCHET#8	established
CLM-math-JF	6.2.4	J = F identity (rfl): the two expressions co-denote. Certifies co-denotation only — NOT that the expression measures deterrence or flourishing	lean:coherence-ratchet:Core.Coherence.J_eq_F	established
CLM-sigma-semigroup	6.2.3	Event-time group-share σ rule: σ(t)=Σ_g (Signal_eff,g/n_g)·Σ w_i·exp(−d(t−t_i)); per-signal Signal_eff multiplication is non-conformant (violates clique_neutralization); the recurrence is an end-of-interval consequence, not the rule; linear decay is non-conformant	lean:coherence-ratchet:Core.Coherence.sigma_decay_semigroup test:CIRISConformance#57 staged:CIRISServer#155	established
CLM-sigma-attest	6.2.3.1	σ-attestation: unattested/free-gratitude signals carry w=0	staged:CIRISServer#155	staged
CLM-sigma-srccorr	6.2.3.1	σ signal-source Kish discount Signal_eff = n_src/(1+ρ̄_src(n_src−1)); clique neutralized at ρ̄_src=1	lean:coherence-ratchet:Core.SignalSourceDiscount.clique_neutralization	established
CLM-noise-classify	6.1.2	Noise-floor classification Full/Partial/EnvelopeOnly by procedure (R,ε)	test:CIRISConformance#test_540_noise_floor impl:CIRISServer#155	established
CLM-noise-N5	6.1.5	N5: revocation forces descent below floor regardless of rarity	test:CIRISConformance#test_540_noise_floor impl:CIRISServer#155	established
CLM-noise-ejection	6.1.2.3	EjectionVerdict routing (Keep/EjectToTier/AggregatedTierOnly/HardDelete)	test:CIRISConformance#test_541_ejection_routing impl:CIRISServer#155	established
CLM-noise-dominance	6.1.2	Aggregation-erasure conditional on the source-diversity gates (mass + multiplicity), enforced at admission	test:CIRISConformance#test_542_dominance_gate impl:CIRISServer#155	established
CLM-neff-dominance-gate	6.1.2.1.2	Signed n_eff (Kish) + pinned min_ratio=0.5 mass-dominance gate; below-version tiers fail closed at admission	test:CIRISConformance#test_542_dominance_gate impl:CIRISServer#155	established
